4,28,135,109,97,119
73,47,110,29,32,120
41,112,100,25,30,27
107,48,134,6,8,112
114,69,9,85,49,111
26,124,127,71,50,37
27,49,33,38,135,111
4,7,66,122,144,6
50,11,41,27,38,31
69,108,118,113,136,137
118,40,55,38,109,116
36,40,69,16,44,111
31,123,33,89,61,63
112,116,65,72,110,51
140,42,43,102,46,113
66,70,31,35,30,34
120,122,118,4,40,32
123,31,29,112,39,57
138,87,44,103,105,106
93,119,50,93,64,45
33,53,39,115,1,114
142,124,34,95,38,35
98,122,8,74,116,30
137,68,82,52,136,77
95,114,117,36,138,42
128,39,140,43,8,99
32,112,65,67,84,108
56,63,115,105,70,122
5,53,71,41,54,121
129,121,100,32,66,139
74,98,47,126,127,3
39,56,45,44,132,117
116,37,129,49,83,9
5,118,40,120,115,39
72,46,117,124,13,105
122,126,138,7,95,31
109,66,42,43,10,48
113,123,121,131,120,10
130,107,86,32,119,118
11,139,69,34,55,61
53,101,54,121,1,48
14,36,125,101,53,46
121,99,104,2,68,142
35,74,113,39,104,56
100,37,36,37,127,70
87,58,57,48,47,50
75,119,38,39,127,126
33,141,71,127,123,143
41,130,1,54,38,89
144,106,100,114,76,56
46,9,6,128,125,123
12,137,4,126,78,132
15,65,88,44,40,2
90,45,141,41,5,111
126,134,133,79,130,17
44,125,43,49,9,13
102,133,42,103,44,40
2,132,71,18,60,103
8,126,57,43,90,144
107,108,99,128,55,91
80,94,102,57,139,103
109,59,11,111,110,135
19,110,109,105,111,112
3,82,104,15,75,17
16,49,92,8,45,77
41,58,133,113,15,140
80,68,45,124,41,4
91,50,107,18,45,141
94,83,51,20,125,11
20,47,14,7,9,60
10,136,72,10,131,23
8,5,75,106,119,48
65,47,143,43,26,29
37,48,141,13,50,62
77,1,49,6,7,131
49,64,129,123,133,111
114,58,14,63,49,76
11,135,108,93,134,6
13,15,42,129,52,51
121,116,11,68,58,1
9,137,111,40,67,137
124,51,128,11,44,42
21,47,124,55,16,69
62,52,53,120,113,85
95,86,66,20,50,109
43,45,54,50,51,54
108,128,78,10,71,130
132,54,92,13,73,1
56,141,138,116,136,21
127,95,51,61,59,136
65,26,28,38,139,122
101,79,125,46,25,82
130,129,134,47,117,30
47,138,109,142,63,22
55,44,85,105,80,70
45,64,35,47,12,9
19,24,69,72,84,140
143,50,70,144,15,143
46,49,59,97,23,26
113,110,48,54,126,129
12,81,142,49,51,76
97,129,114,139,127,125
127,144,81,4,128,3
73,75,70,130,60,111
138,10,2,112,115,53
56,58,50,144,2,131
51,98,12,55,96,129
12,57,52,46,60,57
130,2,78,132,83,143
53,48,137,86,136,117
67,99,116,112,87,14
141,51,52,108,76,80
57,52,15,127,72,136
55,48,116,88,107,90
136,83,138,52,17,30
135,14,112,1,27,4
81,17,18,19,6,109
66,115,36,5,101,22
21,67,56,65,115,91
93,139,141,133,137,55
56,134,61,135,14,140
22,16,76,24,118,132
126,115,113,81,6,17
54,23,28,73,140,133
88,5,58,24,55,141
131,142,56,73,57,7
25,116,63,39,53,30
5,62,58,29,15,78
132,27,53,131,135,27
33,54,115,71,119,63
105,89,134,118,133,3
73,62,134,135,129,82
138,96,143,6,98,59
7,59,120,137,57,106
55,124,56,54,31,13
137,52,32,60,59,60
59,78,62,122,68,74
6,25,4,5,114,97
12,8,58,122,138,16
115,63,119,123,9,29
28,139,18,52,140,58
110,92,130,106,19,35
104,142,75,143,57,108
61,36,137,8,74,84
98,144,21,11,138,53
34,4,31,114,120,40
139,142,65,77,79,83
26,41,70,22,58,64
117,72,125,63,34,139
95,112,75,77,14,94
10,58,36,72,59,56
60,32,34,113,60,119
97,61,81,116,117,4
63,33,118,114,62,74
61,37,42,65,144,84
61,102,130,28,141,106
67,123,73,3,119,79
18,2,144,128,102,127
59,100,14,46,63,128
42,66,16,68,80,142
98,83,67,21,19,67
52,51,103,120,105,134
128,81,4,124,37,8
69,25,76,35,70,76
99,108,100,111,20,13
61,140,36,140,136,9
16,11,88,3,63,13
129,64,1,20,32,131
99,65,114,61,107,72
62,38,31,64,80,82
86,113,122,61,3,104
43,62,73,120,60,85
89,93,117,61,20,23
82,74,85,141,66,7
17,1,24,22,71,118
66,38,65,74,69,5
65,30,31,2,69,109
68,121,59,39,132,105
133,117,17,49,105,65
115,90,135,78,81,143
140,44,101,43,19,45
1,10,120,118,64,27
26,137,106,22,29,45
60,9,79,77,64,67
8,39,6,64,10,84
68,86,68,75,107,101
104,71,84,79,75,46
136,122,119,138,35,85
115,110,11,62,96,7
14,40,70,73,8,72
107,74,13,62,72,85
7,83,12,79,28,103
116,69,50,3,70,74
96,75,18,66,11,19
32,12,81,119,16,77
8,7,76,130,63,123
79,138,1,48,12,142
111,121,16,69,19,39
78,65,123,80,144,9
66,15,67,131,143,14
124,66,68,66,23,118
2,18,33,10,86,77
20,71,12,70,72,15
69,13,68,72,15,79
29,86,73,100,81,97
5,120,87,125,73,1
20,109,75,81,109,87
73,121,82,124,122,129
74,82,123,125,103,65
87,78,76,71,75,77
144,17,77,13,88,14
26,22,106,138,40,64
21,45,115,108,131,134
85,89,35,111,21,23
33,29,37,10,118,117
17,67,16,10,9,13
2,42,114,36,137,76
87,73,74,126,17,3
6,50,133,82,61,101
64,67,90,3,39,43
38,8,11,41,4,53
102,44,17,84,47,9
6,95,84,87,85,24
70,19,80,76,118,90
144,80,41,78,140,64
87,86,83,5,34,68
110,76,7,15,4,47
112,89,127,12,11,42
79,37,36,78,88,121
126,85,7,67,121,86
105,79,18,89,32,51
15,131,141,12,89,69
3,90,38,83,19,18
52,12,120,90,8,41
81,80,43,72,21,20
71,2,40,42,115,89
28,84,44,43,52,82
122,113,140,135,71,74
85,44,68,14,116,90
10,6,112,117,25,130
43,66,23,76,16,77
80,70,22,88,45,81
48,116,143,122,89,67
89,47,17,91,92,13
38,24,95,92,70,113
87,41,128,22,121,98
79,82,71,69,84,83
97,92,53,49,119,82
45,26,121,83,90,132
81,28,132,90,100,91
92,86,72,74,91,94
139,141,33,91,24,21
20,22,93,23,88,89
102,95,13,99,128,88
31,85,86,83,27,25
110,2,14,49,5,118
19,133,25,11,25,50
75,46,42,142,109,16
30,98,123,84,124,142
21,111,23,46,125,21
126,123,120,4,114,71
12,91,133,93,94,48
93,56,94,9,18,93
30,73,33,85,132,16
20,6,15,31,122,103
79,7,53,34,54,92
116,24,14,102,95,97
89,18,37,96,92,17
19,91,26,51,24,26
97,29,92,95,27,76
128,86,24,32,92,25
26,134,96,17,94,126
75,111,45,35,124,125
21,34,94,80,84,131
126,48,28,40,112,68
36,46,87,88,135,75
38,137,74,77,16,94
143,88,35,62,49,87
127,19,22,8,57,92
54,49,78,28,27,38
101,39,104,39,118,91
77,87,94,125,101,25
21,24,124,103,77,80
10,90,92,18,129,27
9,93,91,139,105,97
47,50,28,56,5,128
40,80,54,88,103,41
93,104,44,52,134,139
13,33,31,91,136,69
55,132,57,82,117,98
25,95,42,30,73,56
119,127,82,121,127,15
93,33,94,95,51,124
2,143,100,140,129,18
109,20,42,94,19,28
134,91,22,99,104,95
24,130,136,100,52,51
126,75,107,83,144,108
101,141,27,59,55,50
97,96,99,137,23,55
98,119,127,138,18,130
96,98,96,99,58,29
37,20,100,23,98,11
110,88,84,44,70,57
138,100,96,132,30,96
23,30,99,46,58,29
125,120,101,105,12,84
80,78,56,35,60,32
104,99,102,17,101,23
76,104,109,82,59,100
108,57,42,95,113,105
117,137,40,96,94,99
101,79,78,102,36,97
101,25,136,31,102,103
43,46,53,140,106,14
103,106,112,32,22,41
54,1,5,3,96,111
16,133,107,98,141,55
32,102,83,142,104,4
122,15,139,142,85,18
19,20,81,108,90,24
29,30,99,30,143,85
48,110,92,1,29,35
115,21,113,27,20,129
52,86,133,60,71,26
81,59,102,60,103,53
134,84,83,112,87,105
3,22,23,107,128,93
62,66,58,128,129,135
141,88,23,54,114,26
110,55,22,90,43,90
30,105,78,97,139,68
89,61,32,63,99,67
113,106,103,96,140,44
143,87,21,31,34,100
1,130,59,86,117,24
107,130,7,28,133,104
86,88,57,106,136,91
26,93,144,97,114,143
131,62,46,123,10,125
31,47,120,33,110,102
136,131,33,59,28,89
64,135,34,63,41,124
135,24,117,103,45,34
25,77,144,101,123,125
104,131,6,78,65,47
133,115,93,25,2,94
3,36,34,94,92,48
119,126,5,35,37,36
79,62,64,51,28,114
37,139,142,107,33,27
37,35,2,72,106,34
107,108,36,3,40,106
108,109,132,35,29,108
96,135,62,98,131,134
7,100,63,58,61,98
116,38,39,64,102,104
60,134,132,121,106,107
37,142,27,34,110,91
