71,2,8,69
10,3,4,11
18,10,19,23
36,27,66,21
16,25,54,4
82,38,17,60
56,53,32,35
20,15,64,14
80,65,13,42
39,41,44,50
54,46,44,2
16,21,35,45
24,13,55,3
67,68,15,24
29,23,76,35
19,42,5,69
22,27,21,71
31,38,22,25
22,14,40,39
15,58,45,17
28,18,70,27
24,40,39,36
58,78,69,74
20,3,57,41
42,32,43,23
79,14,2,7
1,28,74,48
24,68,70,33
34,26,67,30
27,38,6,29
10,68,78,44
64,73,65,47
60,72,21,11
28,37,38,41
22,26,45,7
15,71,60,72
19,66,20,27
6,74,57,1
4,62,25,36
33,52,46,72
26,9,51,40
76,34,29,59
61,75,40,78
73,27,81,28
79,44,59,29
43,52,30,74
1,58,48,45
61,62,66,62
50,24,49,46
31,13,51,73
32,69,7,17
30,47,8,72
20,23,51,47
48,66,35,37
80,2,18,33
35,78,82,29
9,64,76,64
25,50,47,53
6,63,70,6
67,68,28,36
10,8,52,39
41,4,67,44
21,37,75,36
71,38,39,36
16,43,1,7
31,5,3,50
72,18,49,53
40,42,38,12
56,11,46,10
5,69,49,17
29,66,10,59
47,37,40,76
42,44,43,75
13,6,20,76
14,16,22,45
35,63,79,46
30,37,53,49
41,36,74,40
9,29,77,71
55,71,77,60
25,21,77,53
81,78,80,43
46,54,55,67
23,70,76,19
2,56,81,56
58,57,26,54
44,61,72,30
75,2,12,68
43,46,11,52
37,77,23,9
51,59,13,14
12,31,52,62
32,47,73,48
74,45,3,6
27,32,59,48
34,59,38,63
47,8,79,60
72,55,49,82
22,57,59,62
61,82,62,75
34,8,73,18
60,51,73,20
25,35,26,9
32,34,82,57
39,8,30,1
58,30,12,4
50,4,61,81
62,19,48,51
63,64,53,63
80,65,54,48
13,11,24,15
22,79,28,69
61,50,14,26
16,60,12,52
65,68,64,2
31,81,49,80
55,14,55,77
75,67,15,34
33,77,28,11
78,74,78,1
57,65,42,6
66,31,63,49
10,15,81,12
41,79,76,24
7,42,43,81
80,19,67,5
79,3,54,39
5,23,52,68
80,18,2,70
77,1,33,4
25,56,8,17
54,70,41,75
16,64,61,71
33,17,70,56
20,31,11,37
56,51,82,3
26,65,66,5
9,16,18,19
7,9,33,50
13,17,82,65
63,32,58,53
57,1,55,34
45,21,5,58
7,12,69,73
576
