46,1,58,14,97,6
49,90,73,59,45,42
46,41,47,52,38,53
46,19,85,84,17,1
4,95,9,8,14,3
7,17,63,59,3,47
42,48,87,8,74,75
50,21,47,59,18,60
52,23,41,15,12,55
90,49,24,25,23,11
13,48,90,22,80,44
18,69,29,26,97,10
11,7,11,43,53,94
52,90,70,35,6,12
14,46,37,41,50,54
5,85,7,47,57,42
76,11,25,23,60,50
53,21,76,58,44,45
20,21,22,6,63,65
91,84,1,15,27,98
96,12,55,20,72,15
2,58,78,62,54,16
60,2,21,31,18,94
32,10,28,31,30,33
14,22,17,51,4,19
79,83,8,63,92,81
2,53,62,19,16,56
63,61,23,38,26,34
48,86,8,10,13,16
13,18,22,20,84,64
32,92,99,76,27,79
65,58,41,35,64,28
17,47,61,91,84,9
4,56,80,83,68,64
49,90,23,48,95,8
57,2,44,20,1,82
55,5,3,75,20,68
63,3,9,65,95,74
37,83,49,50,59,21
86,55,87,96,24,1
45,54,59,56,57,19
37,18,36,23,24,51
42,70,4,60,5,84
65,87,24,22,6,28
25,23,79,78,89,5
25,22,71,40,53,61
62,60,21,18,11,67
66,26,56,54,55,66
23,73,52,51,58,60
28,72,12,6,24,66
81,64,6,85,69,67
29,62,19,60,59,56
46,16,17,70,88,68
29,63,86,91,63,87
89,20,75,25,57,88
92,72,43,61,27,93
38,51,61,69,93,36
77,90,69,66,3,26
62,93,69,95,24,17
13,21,52,62,63,66
9,25,55,87,64,68
25,15,32,27,26,28
12,89,40,43,54,73
96,61,6,71,26,24
7,88,42,10,28,27
22,12,81,44,66,49
29,57,79,70,28,74
64,39,56,97,95,93
94,90,16,19,17,1
46,90,40,13,30,66
99,31,29,76,27,26
5,55,4,78,59,74
30,45,7,88,63,71
59,8,73,71,67,64
46,7,65,4,64,71
47,57,92,76,27,91
78,27,17,84,89,65
67,93,29,13,95,98
11,30,68,99,43,44
98,81,9,87,25,26
10,2,65,74,11,66
82,8,31,32,53,9
96,14,34,72,33,30
48,84,48,67,31,29
83,17,32,31,30,75
12,1,14,88,69,20
5,68,36,83,60,72
10,61,13,35,98,18
62,5,73,36,13,74
58,97,8,70,91,10
22,98,29,92,45,85
99,85,70,34,50,31
76,30,91,34,32,38
85,16,74,73,67,96
98,63,47,66,58,37
67,92,80,34,33,89
68,7,92,71,65,67
30,49,71,78,51,16
88,6,69,53,20,18
80,15,68,69,5,6
52,75,77,48,19,68
67,2,32,33,72,76
28,15,44,32,33,39
94,79,65,70,35,70
54,77,19,55,34,7
31,93,39,49,1,3
66,2,75,57,35,43
34,87,86,50,61,35
89,1,6,31,38,36
58,21,38,33,20,4
88,92,81,14,94,95
71,78,17,77,39,15
32,22,80,4,19,90
12,77,35,21,3,42
40,35,64,36,37,56
10,94,51,99,96,69
97,72,40,41,38,37
1,25,23,98,41,19
38,41,36,37,38,62
59,44,45,99,33,24
74,52,35,60,83,78
37,72,10,82,79,89
46,24,23,39,42,75
81,27,95,60,70,72
92,64,15,43,73,69
75,73,89,41,71,75
78,53,93,67,94,42
36,98,41,91,96,39
33,38,4,56,40,11
28,43,2,84,46,18
26,74,91,83,34,47
39,55,49,74,45,96
48,4,15,54,3,76
71,18,8,97,44,94
30,3,82,76,79,77
11,91,73,79,80,29
44,86,41,2,14,9
45,7,65,80,40,82
51,21,82,97,47,32
31,73,7,16,3,5
4,46,5,72,36,62
51,56,40,12,8,6
14,78,81,70,87,79
17,82,76,43,44,9
15,81,94,89,9,7
83,81,8,52,50,87
89,86,77,55,77,13
25,20,10,39,10,99
50,59,26,47,42,48
95,16,61,68,97,84
42,88,9,50,80,12
11,84,48,50,80,85
77,86,43,29,93,96
27,94,98,95,77,15
49,45,39,45,14,16
53,28,30,33,57,49
22,86,52,54,2,85
9,43,1,36,39,87
90,93,54,37,98,88
34,33,99,91,99,82
88,83,57,92,97,83
24,82,12,80,11,51
82,13,40,93,19,52
14,3,78,34,51,54
97,99,81,58,53,85
86,96,58,2,40,37
35,62,56,79,85,57
5,86,75,13,61,16
1008
