57,51,29,23
161,90,85,16
91,70,4,93
138,48,94,177
120,68,131,135
72,82,26,108
130,191,120,20
55,89,48,160
92,84,81,53
54,131,49,162
136,95,169,163
82,87,82,83
123,68,18,72
100,67,160,152
26,107,135,3
18,174,132,156
153,151,92,88
6,5,74,7
85,24,67,24
157,35,73,116
9,185,90,28
122,56,73,8
89,86,175,79
161,92,165,112
118,176,109,103
112,63,25,91
7,190,3,92
22,37,87,123
28,30,52,59
70,132,180,161
182,60,68,194
134,140,136,31
16,20,170,127
126,21,158,53
166,94,60,55
118,45,119,9
12,96,180,181
54,178,108,138
125,121,55,23
22,8,131,61
57,56,94,93
10,16,12,172
27,164,34,44
11,44,107,110
165,178,141,124
110,126,13,191
26,23,11,76
179,81,41,49
91,106,128,25
143,139,49,183
125,145,17,191
63,162,192,67
130,64,106,60
69,163,129,27
78,95,135,4
57,193,17,193
7,61,15,97
16,144,51,179
181,182,95,71
66,38,46,102
185,186,97,86
184,10,139,137
94,183,35,33
124,32,110,96
175,32,112,111
113,99,97,100
146,70,73,164
24,13,98,137
1,29,180,185
119,149,142,2
72,73,58,167
195,150,91,196
6,13,15,1
32,31,93,14
127,148,74,125
187,86,84,194
96,196,111,53
25,20,100,98
28,113,30,11
26,71,58,111
31,19,137,144
142,57,102,31
85,139,114,64
96,75,71,100
114,21,18,89
36,59,50,69
145,143,65,120
75,46,36,133
104,50,13,116
181,98,114,2
102,103,14,58
153,77,131,166
169,184,186,109
35,138,10,133
78,76,184,168
114,59,122,37
38,33,80,34
61,186,71,128
4,9,36,40
116,105,106,147
37,167,117,77
39,35,29,62
113,19,187,190
136,21,182,17
15,37,115,86
45,43,63,123
124,129,163,101
72,140,195,104
102,46,90,101
192,97,44,19
166,51,141,115
157,52,99,103
3,12,75,5
156,39,41,154
151,152,155,103
52,76,23,14
130,47,5,146
27,188,168,99
158,17,168,173
68,14,29,76
88,90,189,33
80,74,95,88
50,154,6,171
118,155,132,158
159,70,2,59
67,120,112,78
77,79,82,58
61,83,38,12
113,38,41,162
157,149,148,160
179,156,141,117
111,55,40,22
150,21,152,143
39,190,115,41
42,62,84,64
164,1,170,107
171,104,33,5
4,116,170,105
80,172,20,15
32,123,142,176
148,193,22,11
192,74,79,159
45,172,77,24
28,56,127,134
75,128,62,66
173,64,43,45
10,3,121,119
145,42,65,124
104,126,9,53
65,54,84,40
119,151,78,183
118,187,30,147
7,106,165,60
189,169,66,63
85,87,171,105
146,43,39,121
98,79,83,49
40,36,54,176
8,50,48,52
27,189,81,62
126,117,174,188
87,195,88,196
47,93,42,175
188,83,117,69
155,46,44,43
18,42,144,48
174,177,167,6
147,132,130,129
154,66,128,173
25,108,89,99
122,150,101,108
81,122,125,149
134,47,101,127
8,153,47,1
56,51,34,178
140,69,115,80
110,129,109,133
34,121,65,159
2,177,109,105
107,194,30,19
720
